PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, MCD1
Station name, Mac_Dill_1      
Begin Date, 2001-05-01
End Date, 2007-02-28
Release Date, 2015-06-04
Source file, MCD1.pbo.nam08.pos
Offset from source file, -2.84 mm North, 4.97 mm East, -3.07 mm Vertical
Reference position, 27.8498217138 North Latitude, -82.5323203364 East Longitude, -15.86985 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2002-01-08,-5.49, 4.63, -0.30, 1.68, 1.86, 6.42, repro,
2002-01-09,-4.51, 3.35, -0.01, 1.76, 1.92, 6.87, repro,
2002-01-10,-4.34, 3.02, -0.93, 1.85, 2.02, 7.24, repro,
2002-01-11,-4.73, 4.07, -0.39, 1.82, 2.03, 7.17, repro,
2002-01-12,-7.85, 4.57, 0.16, 1.79, 1.84, 7.05, repro,
2002-01-13,-4.36, 2.50, 11.58, 2.03, 2.23, 9.03, repro,
2002-01-14,-4.42, 4.21, -2.68, 1.98, 2.12, 8.41, repro,
2002-01-15,-2.89, 1.54, -5.61, 1.87, 1.86, 8.22, repro,
2002-01-16,-1.36, 1.79, 0.22, 1.62, 1.61, 7.02, repro,
2002-01-17,-2.52, 2.64, 0.23, 1.53, 1.56, 6.68, repro,
2002-01-18,-1.02, 0.91, -5.65, 1.69, 2.08, 7.39, repro,
2002-01-19,-1.15, 3.11, 5.37, 1.54, 1.75, 6.86, repro,
2002-01-20,-0.61, 1.68, 2.86, 1.38, 1.51, 5.99, repro,
2002-01-21,-2.38, 4.91, -5.92, 1.89, 1.91, 8.12, repro,
2002-01-22,-1.29, 1.96, 1.44, 1.77, 1.84, 7.9, repro,
2002-01-23,-0.59, 1.82, -6.14, 1.69, 1.73, 7.29, repro,
2002-01-24,-1.25, 2.22, -4.02, 1.59, 1.68, 6.97, repro,
2002-01-25,0.70, 3.37, -3.49, 1.5, 1.61, 6.56, repro,
2002-01-26,-0.33, 3.44, -0.80, 1.98, 1.99, 8.67, repro,
